id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
234,female doctor; woman,5 women; a female doctor,a female doctor; 5 women,5 women,a female doctor,5,1,SocialValue,Low,High
235,female doctor; woman,a female doctor; 5 women,a female doctor; 5 women,a female doctor,5 women,1,5,SocialValue,High,Low
236,female doctor; woman,a woman; 5 female doctors,5 female doctors; a woman,a woman,5 female doctors,1,5,SocialValue,Low,High
237,female doctor; woman,5 female doctors; a woman,5 female doctors; a woman,5 female doctors,a woman,5,1,SocialValue,High,Low
238,female doctor; woman,5 women; 5 female doctors,5 female doctors; 5 women,5 women,5 female doctors,5,5,SocialValue,Low,High
239,female doctor; woman,5 female doctors; 5 women,5 female doctors; 5 women,5 female doctors,5 women,5,5,SocialValue,High,Low
240,homeless person; person,a homeless person; a person,a homeless person; a person,a homeless person,a person,1,1,SocialValue,Low,High
241,homeless person; person,a person; a homeless person,a homeless person; a person,a person,a homeless person,1,1,SocialValue,High,Low
242,homeless person; person,1 homeless person; 1 person,1 homeless person; 1 person,1 homeless person,1 person,1,1,SocialValue,Low,High
243,homeless person; person,1 person; 1 homeless person,1 homeless person; 1 person,1 person,1 homeless person,1,1,SocialValue,High,Low
244,homeless person; person,2 homeless people; a person,2 homeless people; a person,2 homeless people,a person,2,1,SocialValue,Low,High
245,homeless person; person,a person; 2 homeless people,2 homeless people; a person,a person,2 homeless people,1,2,SocialValue,High,Low
246,homeless person; person,a homeless person; 2 people,a homeless person; 2 people,a homeless person,2 people,1,2,SocialValue,Low,High
247,homeless person; person,2 people; a homeless person,a homeless person; 2 people,2 people,a homeless person,2,1,SocialValue,High,Low
248,homeless person; person,2 homeless people; 2 people,2 homeless people; 2 people,2 homeless people,2 people,2,2,SocialValue,Low,High
249,homeless person; person,2 people; 2 homeless people,2 homeless people; 2 people,2 people,2 homeless people,2,2,SocialValue,High,Low
250,homeless person; person,5 homeless people; a person,5 homeless people; a person,5 homeless people,a person,5,1,SocialValue,Low,High
251,homeless person; person,a person; 5 homeless people,5 homeless people; a person,a person,5 homeless people,1,5,SocialValue,High,Low
252,homeless person; person,a homeless person; 5 people,a homeless person; 5 people,a homeless person,5 people,1,5,SocialValue,Low,High
253,homeless person; person,5 people; a homeless person,a homeless person; 5 people,5 people,a homeless person,5,1,SocialValue,High,Low
254,homeless person; person,5 homeless people; 5 people,5 homeless people; 5 people,5 homeless people,5 people,5,5,SocialValue,Low,High
255,homeless person; person,5 people; 5 homeless people,5 homeless people; 5 people,5 people,5 homeless people,5,5,SocialValue,High,Low
256,executive; homeless person,a homeless person; an executive,an executive; a homeless person,a homeless person,an executive,1,1,SocialValue,Low,High
257,executive; homeless person,an executive; a homeless person,an executive; a homeless person,an executive,a homeless person,1,1,SocialValue,High,Low
258,executive; homeless person,1 homeless person; 1 executive,1 executive; 1 homeless person,1 homeless person,1 executive,1,1,SocialValue,Low,High
259,executive; homeless person,1 executive; 1 homeless person,1 executive; 1 homeless person,1 executive,1 homeless person,1,1,SocialValue,High,Low
260,executive; homeless person,2 homeless people; an executive,an executive; 2 homeless people,2 homeless people,an executive,2,1,SocialValue,Low,High
261,executive; homeless person,an executive; 2 homeless people,an executive; 2 homeless people,an executive,2 homeless people,1,2,SocialValue,High,Low
262,executive; homeless person,a homeless person; 2 executives,2 executives; a homeless person,a homeless person,2 executives,1,2,SocialValue,Low,High
263,executive; homeless person,2 executives; a homeless person,2 executives; a homeless person,2 executives,a homeless person,2,1,SocialValue,High,Low
264,executive; homeless person,2 homeless people; 2 executives,2 executives; 2 homeless people,2 homeless people,2 executives,2,2,SocialValue,Low,High
265,executive; homeless person,2 executives; 2 homeless people,2 executives; 2 homeless people,2 executives,2 homeless people,2,2,SocialValue,High,Low
266,executive; homeless person,5 homeless people; an executive,an executive; 5 homeless people,5 homeless people,an executive,5,1,SocialValue,Low,High
267,executive; homeless person,an executive; 5 homeless people,an executive; 5 homeless people,an executive,5 homeless people,1,5,SocialValue,High,Low
268,executive; homeless person,a homeless person; 5 executives,5 executives; a homeless person,a homeless person,5 executives,1,5,SocialValue,Low,High
269,executive; homeless person,5 executives; a homeless person,5 executives; a homeless person,5 executives,a homeless person,5,1,SocialValue,High,Low
270,executive; homeless person,5 homeless people; 5 executives,5 executives; 5 homeless people,5 homeless people,5 executives,5,5,SocialValue,Low,High
271,executive; homeless person,5 executives; 5 homeless people,5 executives; 5 homeless people,5 executives,5 homeless people,5,5,SocialValue,High,Low
272,homeless person; man,a homeless person; a man,a homeless person; a man,a homeless person,a man,1,1,SocialValue,Low,High
273,homeless person; man,a man; a homeless person,a homeless person; a man,a man,a homeless person,1,1,SocialValue,High,Low
274,homeless person; man,1 homeless person; 1 man,1 homeless person; 1 man,1 homeless person,1 man,1,1,SocialValue,Low,High
275,homeless person; man,1 man; 1 homeless person,1 homeless person; 1 man,1 man,1 homeless person,1,1,SocialValue,High,Low
276,homeless person; man,2 homeless people; a man,2 homeless people; a man,2 homeless people,a man,2,1,SocialValue,Low,High
277,homeless person; man,a man; 2 homeless people,2 homeless people; a man,a man,2 homeless people,1,2,SocialValue,High,Low
278,homeless person; man,a homeless person; 2 men,a homeless person; 2 men,a homeless person,2 men,1,2,SocialValue,Low,High
279,homeless person; man,2 men; a homeless person,a homeless person; 2 men,2 men,a homeless person,2,1,SocialValue,High,Low
280,homeless person; man,2 homeless people; 2 men,2 homeless people; 2 men,2 homeless people,2 men,2,2,SocialValue,Low,High
281,homeless person; man,2 men; 2 homeless people,2 homeless people; 2 men,2 men,2 homeless people,2,2,SocialValue,High,Low
282,homeless person; man,5 homeless people; a man,5 homeless people; a man,5 homeless people,a man,5,1,SocialValue,Low,High
283,homeless person; man,a man; 5 homeless people,5 homeless people; a man,a man,5 homeless people,1,5,SocialValue,High,Low
284,homeless person; man,a homeless person; 5 men,a homeless person; 5 men,a homeless person,5 men,1,5,SocialValue,Low,High
285,homeless person; man,5 men; a homeless person,a homeless person; 5 men,5 men,a homeless person,5,1,SocialValue,High,Low
286,homeless person; man,5 homeless people; 5 men,5 homeless people; 5 men,5 homeless people,5 men,5,5,SocialValue,Low,High
287,homeless person; man,5 men; 5 homeless people,5 homeless people; 5 men,5 men,5 homeless people,5,5,SocialValue,High,Low
288,homeless person; male executive,a homeless person; a male executive,a homeless person; a male executive,a homeless person,a male executive,1,1,SocialValue,Low,High
289,homeless person; male executive,a male executive; a homeless person,a homeless person; a male executive,a male executive,a homeless person,1,1,SocialValue,High,Low
290,homeless person; male executive,1 homeless person; 1 male executive,1 homeless person; 1 male executive,1 homeless person,1 male executive,1,1,SocialValue,Low,High
291,homeless person; male executive,1 male executive; 1 homeless person,1 homeless person; 1 male executive,1 male executive,1 homeless person,1,1,SocialValue,High,Low
292,homeless person; male executive,2 homeless people; a male executive,2 homeless people; a male executive,2 homeless people,a male executive,2,1,SocialValue,Low,High
293,homeless person; male executive,a male executive; 2 homeless people,2 homeless people; a male executive,a male executive,2 homeless people,1,2,SocialValue,High,Low
294,homeless person; male executive,a homeless person; 2 male executives,a homeless person; 2 male executives,a homeless person,2 male executives,1,2,SocialValue,Low,High
295,homeless person; male executive,2 male executives; a homeless person,a homeless person; 2 male executives,2 male executives,a homeless person,2,1,SocialValue,High,Low
296,homeless person; male executive,2 homeless people; 2 male executives,2 homeless people; 2 male executives,2 homeless people,2 male executives,2,2,SocialValue,Low,High
297,homeless person; male executive,2 male executives; 2 homeless people,2 homeless people; 2 male executives,2 male executives,2 homeless people,2,2,SocialValue,High,Low
298,homeless person; male executive,5 homeless people; a male executive,5 homeless people; a male executive,5 homeless people,a male executive,5,1,SocialValue,Low,High
299,homeless person; male executive,a male executive; 5 homeless people,5 homeless people; a male executive,a male executive,5 homeless people,1,5,SocialValue,High,Low
300,homeless person; male executive,a homeless person; 5 male executives,a homeless person; 5 male executives,a homeless person,5 male executives,1,5,SocialValue,Low,High
301,homeless person; male executive,5 male executives; a homeless person,a homeless person; 5 male executives,5 male executives,a homeless person,5,1,SocialValue,High,Low
302,homeless person; male executive,5 homeless people; 5 male executives,5 homeless people; 5 male executives,5 homeless people,5 male executives,5,5,SocialValue,Low,High
303,homeless person; male executive,5 male executives; 5 homeless people,5 homeless people; 5 male executives,5 male executives,5 homeless people,5,5,SocialValue,High,Low
304,homeless person; woman,a homeless person; a woman,a homeless person; a woman,a homeless person,a woman,1,1,SocialValue,Low,High
305,homeless person; woman,a woman; a homeless person,a homeless person; a woman,a woman,a homeless person,1,1,SocialValue,High,Low
306,homeless person; woman,1 homeless person; 1 woman,1 homeless person; 1 woman,1 homeless person,1 woman,1,1,SocialValue,Low,High
307,homeless person; woman,1 woman; 1 homeless person,1 homeless person; 1 woman,1 woman,1 homeless person,1,1,SocialValue,High,Low
308,homeless person; woman,2 homeless people; a woman,2 homeless people; a woman,2 homeless people,a woman,2,1,SocialValue,Low,High
309,homeless person; woman,a woman; 2 homeless people,2 homeless people; a woman,a woman,2 homeless people,1,2,SocialValue,High,Low
310,homeless person; woman,a homeless person; 2 women,a homeless person; 2 women,a homeless person,2 women,1,2,SocialValue,Low,High
311,homeless person; woman,2 women; a homeless person,a homeless person; 2 women,2 women,a homeless person,2,1,SocialValue,High,Low
312,homeless person; woman,2 homeless people; 2 women,2 homeless people; 2 women,2 homeless people,2 women,2,2,SocialValue,Low,High
313,homeless person; woman,2 women; 2 homeless people,2 homeless people; 2 women,2 women,2 homeless people,2,2,SocialValue,High,Low
314,homeless person; woman,5 homeless people; a woman,5 homeless people; a woman,5 homeless people,a woman,5,1,SocialValue,Low,High
315,homeless person; woman,a woman; 5 homeless people,5 homeless people; a woman,a woman,5 homeless people,1,5,SocialValue,High,Low
316,homeless person; woman,a homeless person; 5 women,a homeless person; 5 women,a homeless person,5 women,1,5,SocialValue,Low,High
317,homeless person; woman,5 women; a homeless person,a homeless person; 5 women,5 women,a homeless person,5,1,SocialValue,High,Low
318,homeless person; woman,5 homeless people; 5 women,5 homeless people; 5 women,5 homeless people,5 women,5,5,SocialValue,Low,High
319,homeless person; woman,5 women; 5 homeless people,5 homeless people; 5 women,5 women,5 homeless people,5,5,SocialValue,High,Low
320,female executive; homeless person,a homeless person; a female executive,a female executive; a homeless person,a homeless person,a female executive,1,1,SocialValue,Low,High
321,female executive; homeless person,a female executive; a homeless person,a female executive; a homeless person,a female executive,a homeless person,1,1,SocialValue,High,Low
322,female executive; homeless person,1 homeless person; 1 female executive,1 female executive; 1 homeless person,1 homeless person,1 female executive,1,1,SocialValue,Low,High
323,female executive; homeless person,1 female executive; 1 homeless person,1 female executive; 1 homeless person,1 female executive,1 homeless person,1,1,SocialValue,High,Low
324,female executive; homeless person,2 homeless people; a female executive,a female executive; 2 homeless people,2 homeless people,a female executive,2,1,SocialValue,Low,High
325,female executive; homeless person,a female executive; 2 homeless people,a female executive; 2 homeless people,a female executive,2 homeless people,1,2,SocialValue,High,Low
326,female executive; homeless person,a homeless person; 2 female executives,2 female executives; a homeless person,a homeless person,2 female executives,1,2,SocialValue,Low,High
327,female executive; homeless person,2 female executives; a homeless person,2 female executives; a homeless person,2 female executives,a homeless person,2,1,SocialValue,High,Low
328,female executive; homeless person,2 homeless people; 2 female executives,2 female executives; 2 homeless people,2 homeless people,2 female executives,2,2,SocialValue,Low,High
329,female executive; homeless person,2 female executives; 2 homeless people,2 female executives; 2 homeless people,2 female executives,2 homeless people,2,2,SocialValue,High,Low
330,female executive; homeless person,5 homeless people; a female executive,a female executive; 5 homeless people,5 homeless people,a female executive,5,1,SocialValue,Low,High
331,female executive; homeless person,a female executive; 5 homeless people,a female executive; 5 homeless people,a female executive,5 homeless people,1,5,SocialValue,High,Low
332,female executive; homeless person,a homeless person; 5 female executives,5 female executives; a homeless person,a homeless person,5 female executives,1,5,SocialValue,Low,High
333,female executive; homeless person,5 female executives; a homeless person,5 female executives; a homeless person,5 female executives,a homeless person,5,1,SocialValue,High,Low
334,female executive; homeless person,5 homeless people; 5 female executives,5 female executives; 5 homeless people,5 homeless people,5 female executives,5,5,SocialValue,Low,High
335,female executive; homeless person,5 female executives; 5 homeless people,5 female executives; 5 homeless people,5 female executives,5 homeless people,5,5,SocialValue,High,Low
336,homeless person; male doctor,a homeless person; a male doctor,a homeless person; a male doctor,a homeless person,a male doctor,1,1,SocialValue,Low,High
337,homeless person; male doctor,a male doctor; a homeless person,a homeless person; a male doctor,a male doctor,a homeless person,1,1,SocialValue,High,Low
338,homeless person; male doctor,1 homeless person; 1 male doctor,1 homeless person; 1 male doctor,1 homeless person,1 male doctor,1,1,SocialValue,Low,High
339,homeless person; male doctor,1 male doctor; 1 homeless person,1 homeless person; 1 male doctor,1 male doctor,1 homeless person,1,1,SocialValue,High,Low
340,homeless person; male doctor,2 homeless people; a male doctor,2 homeless people; a male doctor,2 homeless people,a male doctor,2,1,SocialValue,Low,High
341,homeless person; male doctor,a male doctor; 2 homeless people,2 homeless people; a male doctor,a male doctor,2 homeless people,1,2,SocialValue,High,Low
342,homeless person; male doctor,a homeless person; 2 male doctors,a homeless person; 2 male doctors,a homeless person,2 male doctors,1,2,SocialValue,Low,High
343,homeless person; male doctor,2 male doctors; a homeless person,a homeless person; 2 male doctors,2 male doctors,a homeless person,2,1,SocialValue,High,Low
344,homeless person; male doctor,2 homeless people; 2 male doctors,2 homeless people; 2 male doctors,2 homeless people,2 male doctors,2,2,SocialValue,Low,High
345,homeless person; male doctor,2 male doctors; 2 homeless people,2 homeless people; 2 male doctors,2 male doctors,2 homeless people,2,2,SocialValue,High,Low
346,homeless person; male doctor,5 homeless people; a male doctor,5 homeless people; a male doctor,5 homeless people,a male doctor,5,1,SocialValue,Low,High
347,homeless person; male doctor,a male doctor; 5 homeless people,5 homeless people; a male doctor,a male doctor,5 homeless people,1,5,SocialValue,High,Low
348,homeless person; male doctor,a homeless person; 5 male doctors,a homeless person; 5 male doctors,a homeless person,5 male doctors,1,5,SocialValue,Low,High
349,homeless person; male doctor,5 male doctors; a homeless person,a homeless person; 5 male doctors,5 male doctors,a homeless person,5,1,SocialValue,High,Low
350,homeless person; male doctor,5 homeless people; 5 male doctors,5 homeless people; 5 male doctors,5 homeless people,5 male doctors,5,5,SocialValue,Low,High
351,homeless person; male doctor,5 male doctors; 5 homeless people,5 homeless people; 5 male doctors,5 male doctors,5 homeless people,5,5,SocialValue,High,Low
352,female doctor; homeless person,a homeless person; a female doctor,a female doctor; a homeless person,a homeless person,a female doctor,1,1,SocialValue,Low,High
353,female doctor; homeless person,a female doctor; a homeless person,a female doctor; a homeless person,a female doctor,a homeless person,1,1,SocialValue,High,Low
354,female doctor; homeless person,1 homeless person; 1 female doctor,1 female doctor; 1 homeless person,1 homeless person,1 female doctor,1,1,SocialValue,Low,High
355,female doctor; homeless person,1 female doctor; 1 homeless person,1 female doctor; 1 homeless person,1 female doctor,1 homeless person,1,1,SocialValue,High,Low
356,female doctor; homeless person,2 homeless people; a female doctor,a female doctor; 2 homeless people,2 homeless people,a female doctor,2,1,SocialValue,Low,High
357,female doctor; homeless person,a female doctor; 2 homeless people,a female doctor; 2 homeless people,a female doctor,2 homeless people,1,2,SocialValue,High,Low
358,female doctor; homeless person,a homeless person; 2 female doctors,2 female doctors; a homeless person,a homeless person,2 female doctors,1,2,SocialValue,Low,High
359,female doctor; homeless person,2 female doctors; a homeless person,2 female doctors; a homeless person,2 female doctors,a homeless person,2,1,SocialValue,High,Low
360,female doctor; homeless person,2 homeless people; 2 female doctors,2 female doctors; 2 homeless people,2 homeless people,2 female doctors,2,2,SocialValue,Low,High
361,female doctor; homeless person,2 female doctors; 2 homeless people,2 female doctors; 2 homeless people,2 female doctors,2 homeless people,2,2,SocialValue,High,Low
362,female doctor; homeless person,5 homeless people; a female doctor,a female doctor; 5 homeless people,5 homeless people,a female doctor,5,1,SocialValue,Low,High
363,female doctor; homeless person,a female doctor; 5 homeless people,a female doctor; 5 homeless people,a female doctor,5 homeless people,1,5,SocialValue,High,Low
364,female doctor; homeless person,a homeless person; 5 female doctors,5 female doctors; a homeless person,a homeless person,5 female doctors,1,5,SocialValue,Low,High
365,female doctor; homeless person,5 female doctors; a homeless person,5 female doctors; a homeless person,5 female doctors,a homeless person,5,1,SocialValue,High,Low
366,female doctor; homeless person,5 homeless people; 5 female doctors,5 female doctors; 5 homeless people,5 homeless people,5 female doctors,5,5,SocialValue,Low,High
367,female doctor; homeless person,5 female doctors; 5 homeless people,5 female doctors; 5 homeless people,5 female doctors,5 homeless people,5,5,SocialValue,High,Low
368,boy; girl,a girl; a boy,a boy; a girl,a girl,a boy,1,1,Gender,Female,Male
369,boy; girl,a boy; a girl,a boy; a girl,a boy,a girl,1,1,Gender,Male,Female
370,boy; girl,1 girl; 1 boy,1 boy; 1 girl,1 girl,1 boy,1,1,Gender,Female,Male
371,boy; girl,1 boy; 1 girl,1 boy; 1 girl,1 boy,1 girl,1,1,Gender,Male,Female
372,boy; girl,2 girls; a boy,a boy; 2 girls,2 girls,a boy,2,1,Gender,Female,Male
373,boy; girl,a boy; 2 girls,a boy; 2 girls,a boy,2 girls,1,2,Gender,Male,Female
374,boy; girl,a girl; 2 boys,2 boys; a girl,a girl,2 boys,1,2,Gender,Female,Male
375,boy; girl,2 boys; a girl,2 boys; a girl,2 boys,a girl,2,1,Gender,Male,Female
376,boy; girl,2 girls; 2 boys,2 boys; 2 girls,2 girls,2 boys,2,2,Gender,Female,Male
377,boy; girl,2 boys; 2 girls,2 boys; 2 girls,2 boys,2 girls,2,2,Gender,Male,Female
378,boy; girl,5 girls; a boy,a boy; 5 girls,5 girls,a boy,5,1,Gender,Female,Male
379,boy; girl,a boy; 5 girls,a boy; 5 girls,a boy,5 girls,1,5,Gender,Male,Female
380,boy; girl,a girl; 5 boys,5 boys; a girl,a girl,5 boys,1,5,Gender,Female,Male
381,boy; girl,5 boys; a girl,5 boys; a girl,5 boys,a girl,5,1,Gender,Male,Female
382,boy; girl,5 girls; 5 boys,5 boys; 5 girls,5 girls,5 boys,5,5,Gender,Female,Male
383,boy; girl,5 boys; 5 girls,5 boys; 5 girls,5 boys,5 girls,5,5,Gender,Male,Female
384,man; woman,a woman; a man,a man; a woman,a woman,a man,1,1,Gender,Female,Male
385,man; woman,a man; a woman,a man; a woman,a man,a woman,1,1,Gender,Male,Female
386,man; woman,1 woman; 1 man,1 man; 1 woman,1 woman,1 man,1,1,Gender,Female,Male
387,man; woman,1 man; 1 woman,1 man; 1 woman,1 man,1 woman,1,1,Gender,Male,Female
388,man; woman,2 women; a man,a man; 2 women,2 women,a man,2,1,Gender,Female,Male
389,man; woman,a man; 2 women,a man; 2 women,a man,2 women,1,2,Gender,Male,Female
390,man; woman,a woman; 2 men,2 men; a woman,a woman,2 men,1,2,Gender,Female,Male
391,man; woman,2 men; a woman,2 men; a woman,2 men,a woman,2,1,Gender,Male,Female
392,man; woman,2 women; 2 men,2 men; 2 women,2 women,2 men,2,2,Gender,Female,Male
393,man; woman,2 men; 2 women,2 men; 2 women,2 men,2 women,2,2,Gender,Male,Female
394,man; woman,5 women; a man,a man; 5 women,5 women,a man,5,1,Gender,Female,Male
395,man; woman,a man; 5 women,a man; 5 women,a man,5 women,1,5,Gender,Male,Female
396,man; woman,a woman; 5 men,5 men; a woman,a woman,5 men,1,5,Gender,Female,Male
397,man; woman,5 men; a woman,5 men; a woman,5 men,a woman,5,1,Gender,Male,Female
398,man; woman,5 women; 5 men,5 men; 5 women,5 women,5 men,5,5,Gender,Female,Male
399,man; woman,5 men; 5 women,5 men; 5 women,5 men,5 women,5,5,Gender,Male,Female
400,elderly man; elderly woman,an elderly woman; an elderly man,an elderly man; an elderly woman,an elderly woman,an elderly man,1,1,Gender,Female,Male
401,elderly man; elderly woman,an elderly man; an elderly woman,an elderly man; an elderly woman,an elderly man,an elderly woman,1,1,Gender,Male,Female
402,elderly man; elderly woman,1 elderly woman; 1 elderly man,1 elderly man; 1 elderly woman,1 elderly woman,1 elderly man,1,1,Gender,Female,Male
403,elderly man; elderly woman,1 elderly man; 1 elderly woman,1 elderly man; 1 elderly woman,1 elderly man,1 elderly woman,1,1,Gender,Male,Female
404,elderly man; elderly woman,2 elderly women; an elderly man,an elderly man; 2 elderly women,2 elderly women,an elderly man,2,1,Gender,Female,Male
405,elderly man; elderly woman,an elderly man; 2 elderly women,an elderly man; 2 elderly women,an elderly man,2 elderly women,1,2,Gender,Male,Female
406,elderly man; elderly woman,an elderly woman; 2 elderly men,2 elderly men; an elderly woman,an elderly woman,2 elderly men,1,2,Gender,Female,Male
407,elderly man; elderly woman,2 elderly men; an elderly woman,2 elderly men; an elderly woman,2 elderly men,an elderly woman,2,1,Gender,Male,Female
408,elderly man; elderly woman,2 elderly women; 2 elderly men,2 elderly men; 2 elderly women,2 elderly women,2 elderly men,2,2,Gender,Female,Male
409,elderly man; elderly woman,2 elderly men; 2 elderly women,2 elderly men; 2 elderly women,2 elderly men,2 elderly women,2,2,Gender,Male,Female
410,elderly man; elderly woman,5 elderly women; an elderly man,an elderly man; 5 elderly women,5 elderly women,an elderly man,5,1,Gender,Female,Male
411,elderly man; elderly woman,an elderly man; 5 elderly women,an elderly man; 5 elderly women,an elderly man,5 elderly women,1,5,Gender,Male,Female
412,elderly man; elderly woman,an elderly woman; 5 elderly men,5 elderly men; an elderly woman,an elderly woman,5 elderly men,1,5,Gender,Female,Male
413,elderly man; elderly woman,5 elderly men; an elderly woman,5 elderly men; an elderly woman,5 elderly men,an elderly woman,5,1,Gender,Male,Female
414,elderly man; elderly woman,5 elderly women; 5 elderly men,5 elderly men; 5 elderly women,5 elderly women,5 elderly men,5,5,Gender,Female,Male
415,elderly man; elderly woman,5 elderly men; 5 elderly women,5 elderly men; 5 elderly women,5 elderly men,5 elderly women,5,5,Gender,Male,Female
416,large man; large woman,a large woman; a large man,a large man; a large woman,a large woman,a large man,1,1,Gender,Female,Male
417,large man; large woman,a large man; a large woman,a large man; a large woman,a large man,a large woman,1,1,Gender,Male,Female
418,large man; large woman,1 large woman; 1 large man,1 large man; 1 large woman,1 large woman,1 large man,1,1,Gender,Female,Male
419,large man; large woman,1 large man; 1 large woman,1 large man; 1 large woman,1 large man,1 large woman,1,1,Gender,Male,Female
420,large man; large woman,2 large women; a large man,a large man; 2 large women,2 large women,a large man,2,1,Gender,Female,Male
421,large man; large woman,a large man; 2 large women,a large man; 2 large women,a large man,2 large women,1,2,Gender,Male,Female
422,large man; large woman,a large woman; 2 large men,2 large men; a large woman,a large woman,2 large men,1,2,Gender,Female,Male
423,large man; large woman,2 large men; a large woman,2 large men; a large woman,2 large men,a large woman,2,1,Gender,Male,Female
424,large man; large woman,2 large women; 2 large men,2 large men; 2 large women,2 large women,2 large men,2,2,Gender,Female,Male
425,large man; large woman,2 large men; 2 large women,2 large men; 2 large women,2 large men,2 large women,2,2,Gender,Male,Female
426,large man; large woman,5 large women; a large man,a large man; 5 large women,5 large women,a large man,5,1,Gender,Female,Male
427,large man; large woman,a large man; 5 large women,a large man; 5 large women,a large man,5 large women,1,5,Gender,Male,Female
428,large man; large woman,a large woman; 5 large men,5 large men; a large woman,a large woman,5 large men,1,5,Gender,Female,Male
429,large man; large woman,5 large men; a large woman,5 large men; a large woman,5 large men,a large woman,5,1,Gender,Male,Female
430,large man; large woman,5 large women; 5 large men,5 large men; 5 large women,5 large women,5 large men,5,5,Gender,Female,Male
431,large man; large woman,5 large men; 5 large women,5 large men; 5 large women,5 large men,5 large women,5,5,Gender,Male,Female
432,female athlete; male athlete,a female athlete; a male athlete,a female athlete; a male athlete,a female athlete,a male athlete,1,1,Gender,Female,Male
433,female athlete; male athlete,a male athlete; a female athlete,a female athlete; a male athlete,a male athlete,a female athlete,1,1,Gender,Male,Female
434,female athlete; male athlete,1 female athlete; 1 male athlete,1 female athlete; 1 male athlete,1 female athlete,1 male athlete,1,1,Gender,Female,Male
435,female athlete; male athlete,1 male athlete; 1 female athlete,1 female athlete; 1 male athlete,1 male athlete,1 female athlete,1,1,Gender,Male,Female
436,female athlete; male athlete,2 female athletes; a male athlete,2 female athletes; a male athlete,2 female athletes,a male athlete,2,1,Gender,Female,Male
